"281470698548736","281470698548991","JP","Japan","Shimane","Izumo","35.367000","132.767000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698548992","281470698549503","JP","Japan","Shimane","Matsue","35.467000","133.050000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698549504","281470698549759","JP","Japan","Tottori","Yonago","35.433000","133.333000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698549760","281470698550015","JP","Japan","Tottori","Kurayoshi","35.433000","133.817000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698550016","281470698550783","JP","Japan","Shimane","Izumo","35.367000","132.767000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698550784","281470698551039","JP","Japan","Tottori","Tottori","35.500000","134.233000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698551040","281470698551295","JP","Japan","Shimane","Izumo","35.367000","132.767000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698551296","281470698551551","JP","Japan","Tottori","Yonago","35.433000","133.333000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698551552","281470698551807","JP","Japan","Shimane","Yasugi","35.428330","133.253610","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698551808","281470698552063","JP","Japan","Shimane","Matsue","35.467000","133.050000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698552064","281470698552319","JP","Japan","Yamaguchi","Iwakuni","34.150000","132.183000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698552320","281470698552575","JP","Japan","Shimane","Izumo","35.367000","132.767000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698552576","281470698552831","JP","Japan","Yamaguchi","Yamaguchi","34.183000","131.467000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698552832","281470698553343","JP","Japan","Shimane","Izumo","35.367000","132.767000","Energia Communications Inc.","enecom.co.jp","-","-","-","ISP"
"281470698553344","281470698553599","TH","Thailand","Chiang Rai","Pa Daet","19.504800","99.992430","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698553600","281470698553855","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.750000","100.516670","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698553856","281470698554111","TH","Thailand","Phetchaburi","Phetchaburi","13.111890","99.944670","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698554112","281470698554367","TH","Thailand","Songkhla","Songkhla","7.198820","100.595100","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698554368","281470698554623","TH","Thailand","Saraburi","Wang Muang","14.845360","101.134360","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698554624","281470698554879","TH","Thailand","Lop Buri","Phatthana Nikhom","14.856460","100.984590","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698554880","281470698555135","TH","Thailand","Saraburi","Wihan Daeng","14.345860","100.989420","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698555136","281470698555391","TH","Thailand","Chiang Mai","San Pa Tong","18.628280","98.895720","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698555392","281470698555647","TH","Thailand","Kanchanaburi","Lao Khwan","14.595220","99.774310","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698555648","281470698555903","TH","Thailand","Trang","Ratsada","7.974670","99.633530","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698555904","281470698556159","TH","Thailand","Nakhon Sawan","Takhli","15.263360","100.343780","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698556160","281470698556415","TH","Thailand","Chanthaburi","Laem Sing","12.481640","102.073750","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698556416","281470698556671","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.750000","100.516670","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698556672","281470698556927","TH","Thailand","Chachoengsao","Plaeng Yao","13.584670","101.284030","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698556928","281470698557183","TH","Thailand","Phetchaburi","Cha-am","12.800000","99.966670","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698557184","281470698557439","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.750000","100.516670","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
"281470698557440","281470698557695","TH","Thailand","Satun","Satun","6.623140","100.066760","TOT Public Company Limited","tot.co.th","520","15/47","TOT 3G","ISP/MOB"
